Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5YhyG5A82Lk5K0V9bcatlo,"Likewise","Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)","RAT BOY,IBDY",2020-12-25,133891,47,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Lakeshore Records",0.598,0.836,5,-5.787,0,0.0453,0.0325,0.397,0.357,0.367,99.976,4
4mn5HdatHKN7iFGDes9G8i,"Who's Ready for Tomorrow","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","RAT BOY,IBDY",2020-12-18,116161,66,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Lakeshore Records",0.751,0.74,9,-6.016,1,0.045,0.152,0.0000575,0.0873,0.788,138.066,4
3P6OwCX7Ofiaaqtvujb6i5,"Sixteen Tons","Vintage Collections","Tennessee Ernie Ford",1997-01-01,158306,53,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"christian country","Capitol Nashville",0.693,0.324,11,-15.085,1,0.205,0.796,0,0.246,0.382,144.14,4
2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,89,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
780FG6uMy30vT4DrNLAO3W,"Be Gay, Do Drugs, Hail Satan","Be Gay, Do Drugs, Hail Satan","Super Cassette",2020-08-21,177937,43,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Dad Shirt Records",0.376,0.674,2,-8.315,1,0.0338,0.00903,0.000258,0.377,0.391,80.011,4
1zyGFId8xHOcRmCmehrwlc,"I Can't Decide","Ta-Dah","Scissor Sisters",2006-01-01,166573,63,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Polydor Records",0.69,0.795,3,-4.956,1,0.0312,0.255,0,0.202,0.872,96.99,4
7fqhrLJzKHJ0RW32N0y2Gp,"Spirit In The Sky","Spirit In The Sky","Norman Greenbaum",1969-01-01,242893,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"classic rock","Varese Sarabande",0.537,0.606,2,-7.048,1,0.0347,0.0939,0.00559,0.11,0.582,128.73,4
215wUTQQUo2PElJFEFoB0d,"Wheel in the Sky","Infinity","Journey",1978,252240,62,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"album rock,classic rock","Columbia/Legacy",0.442,0.745,2,-8.623,0,0.0741,0.084,0.0000218,0.136,0.368,105.184,4
4WZb6UurjjVs2W6ClgwirI,"Hell Broke Luce","Bad As Me (Deluxe Edition Remastered)","Tom Waits",2011-10-25,236066,41,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"dark cabaret,singer-songwriter","Anti/Epitaph",0.617,0.995,0,-5.922,1,0.145,0.546,0.0000801,0.282,0.298,80.017,4
4jvD24BuaKyDBC8IMtKa9H,"your text","your text","sundial",2016-10-26,197333,43,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Epic Network Music",0.751,0.688,1,-8.475,1,0.216,0.167,0.00112,0.417,0.675,90.07,4
3Ie4Z4383kqZEQHNLprjMK,"We Are Beautiful, We Are Doomed - Remastered","We Are Beautiful, We Are Doomed (Remastered Edition)","Los Campesinos!",2008-10-27,234066,30,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Arts & Crafts Productions Inc.",0.291,0.793,2,-6.434,1,0.0946,0.00504,0.000606,0.304,0.51,163.078,4
7BY005dacJkbO6EPiOh2wb,"House Of The Rising Sun","The Animals","The Animals",1964-01-01,271280,69,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"classic rock","ABKCO Music & Records, Inc.",0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,3
4B6XjmOWI55np7y4MUTXDu,"La Seine - Extrait de la bande originale un monstre à Paris","Best Of & Variations","Vanessa Paradis,-M-",2019-11-29,167520,61,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"variété française,chanson,french pop,french house","Universal Music Division Barclay",0.736,0.667,2,-7.901,0,0.0307,0.43,0.0000442,0.0992,0.4,113.062,4
6rmQtRRS7JQ5WUCUEFPMx1,"Maybach","Maybach","Lewis Hanton",2019-06-12,174497,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Asian Group",0.685,0.229,5,-20.287,0,0.0365,0.652,0.202,0.109,0.131,132.284,4
25AvaE23MXl06YRtQcQoJS,"Welcome to the Internet","Inside (The Songs)","Bo Burnham",2021-06-10,275999,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"comedy","Bo Burnham",0.665,0.527,2,-8.588,0,0.429,0.663,0,0.306,0.219,94.711,3
2zPcVDSpYNVKQ5c7jR7MXj,"summer depression","summer depression","girl in red",2018-03-03,151693,5,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"bedroom pop","world in red",0.691,0.306,9,-15.651,1,0.0544,0.632,0.479,0.108,0.62,129.929,4
2TmUt0ofWMa02MdYkKhK4C,"Pigstep (Stereo Mix)","Minecraft: Nether Update (Original Game Soundtrack)","Lena Raine,Minecraft",2020-06-05,149647,57,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"soundtrack","Microsoft Studios Music",0.617,0.919,4,-2.879,0,0.0556,0.249,0.0976,0.282,0.529,113.175,5
29VdNzgJIxzlIDkIYjFQqS,"Life Letters","Life Letters","Never Get Used To People",2018-12-07,148040,64,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","A+",0.441,0.692,10,-4.945,0,0.12,0.843,0.00000157,0.0981,0.417,92.304,4
4NzlpYVrTYG1eo8BCu3MLB,"East Bound and Down","East Bound and Down","Jerry Reed",1977-08-01,168466,59,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"country","RCA/Legacy",0.514,0.941,7,-8.118,1,0.061,0.526,0.00000976,0.163,0.716,120.795,4
2vWBUC9djv6BtiGlmKiQaH,"YKWIM?","Bipolar","Yot Club",2019-05-31,212750,78,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3
2vT4Xvrd9xuWUi56RQ2sqo,"I / Me / Myself","The Normal Album","Will Wood",2020-07-10,291715,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"dark cabaret","Say-10",0.48,0.954,11,-5.273,0,0.0584,0.165,0.00000514,0.807,0.762,172.016,4
